customer_index,cross_replication_avg_wait,smoothed_avg_wait
1019,10.706904,10.107902
1020,10.133348,10.238972
1021,10.023708,10.317093
1022,9.867143,10.365501
1023,9.629287,10.386608
1024,9.491631,10.353115
1025,9.483479,10.299802
1026,9.153749,10.283181
1027,7.905813,10.196965
1028,6.9245,10.103251
1029,6.660322,9.980796
1030,6.509143,9.85444
1031,6.992877,9.726428
1032,6.916183,9.578522
1033,6.821702,9.448535
1034,6.793879,9.30473
1035,7.762875,9.171166
1036,8.163599,9.005361
1037,8.017154,8.886594
1038,9.374122,8.861536
1039,9.334611,8.829188
1040,8.764136,8.723469
1041,9.207994,8.675318
1042,10.285576,8.626365
1043,8.86203,8.55143
1044,8.846591,8.477018
1045,10.355196,8.485892
1046,10.789081,8.516507
1047,11.847872,8.595736
1048,11.159716,8.656953
1049,10.468438,8.696025
1050,10.163183,8.723214
1051,9.59961,8.741048
1052,8.337813,8.758328
1053,7.985646,8.800774
1054,7.379989,8.829561
1055,6.305217,8.821404
1056,6.44895,8.799647
1057,6.574541,8.785981
1058,6.914789,8.789704
1059,7.027897,8.799065
1060,6.725957,8.757588
1061,6.61939,8.69582
1062,6.553906,8.63729
1063,6.46047,8.520744
1064,7.177971,8.434478
1065,7.876152,8.398959
1066,7.537772,8.33215
1067,8.001963,8.240806
1068,9.074029,8.249286
1069,9.27684,8.266496
1070,9.459807,8.23068
1071,8.977973,8.158236
1072,8.575133,8.027326
1073,7.778699,7.892085
1074,6.900165,7.749354
1075,7.902333,7.658921
1076,8.293698,7.606684
1077,7.960911,7.591608
1078,7.907567,7.588485
1079,8.152725,7.619394
1080,8.165206,7.693794
1081,8.433775,7.773187
1082,7.662725,7.816714
1083,8.256955,7.870401
1084,8.273983,7.920244
1085,8.731256,8.000456
1086,9.021754,8.096551
1087,9.429451,8.211573
1088,9.443056,8.330876
1089,9.045453,8.405575
1090,9.315384,8.463145
1091,8.996377,8.521489
1092,8.969763,8.560201
1093,10.236816,8.606712
1094,11.210514,8.684059
1095,10.292161,8.717353
1096,11.418597,8.814978
1097,10.598747,8.895923
1098,10.596471,9.008634
1099,12.498849,9.232581
1100,11.519664,9.377274
1101,12.083455,9.528865
1102,11.489484,9.670008
1103,12.0911,9.837349
1104,10.483273,9.930571
1105,10.755655,10.034189
1106,10.348754,10.110788
1107,11.049795,10.246271
1108,11.42642,10.373049
1109,10.751143,10.472136
1110,11.509825,10.583278
1111,13.130454,10.747626
1112,13.317427,10.903145
1113,12.314367,11.017998
1114,11.849476,11.130159
1115,12.198826,11.245497
1116,12.873765,11.400592
1117,12.885442,11.557219
1118,11.072591,11.59065
1119,10.566203,11.564878
1120,10.773057,11.584114
1121,10.891577,11.563033
1122,11.191117,11.586728
1123,10.622424,11.587766
1124,10.644161,11.513578
1125,10.703198,11.48092
1126,11.711284,11.466033
1127,10.945846,11.444287
1128,10.922377,11.397538
1129,10.524992,11.399207
1130,9.926002,11.366021
1131,7.512261,11.252561
1132,7.903895,11.126725
1133,7.794616,10.981453
1134,8.162776,10.877918
1135,8.535311,10.758938
1136,8.061887,10.556195
1137,7.910707,10.339926
1138,5.441767,10.065022
1139,6.149873,9.837038
1140,6.221553,9.597947
1141,6.617538,9.347698
1142,6.519704,9.093069
1143,7.110931,8.934602
